,pc,user,won
1458,50,23,pc
1459,49,50,user
1460,50,41,pc
1461,50,41,pc
1462,42,50,user
1463,50,13,pc
1464,50,30,pc
1465,50,23,pc
1466,50,46,pc
1467,50,30,pc
1468,50,26,pc
1469,41,50,user
1470,50,35,pc
1471,50,30,pc
1472,50,18,pc
1473,36,50,user
1474,47,50,user
1475,50,45,pc
1476,50,34,pc
1477,50,32,pc
1478,50,42,pc
1479,50,44,pc
1480,50,21,pc
1481,50,40,pc
1482,49,50,user
1483,50,36,pc
1484,50,24,pc
1485,50,39,pc
1486,50,33,pc
1487,41,50,user
1488,50,33,pc
1489,42,50,user
1490,48,50,user
1491,50,28,pc
1492,50,46,pc
1493,45,50,user
1494,48,50,user
1495,50,33,pc
1496,50,36,pc
1497,50,31,pc
1498,50,17,pc
1499,50,48,pc
1500,50,16,pc
1501,42,50,user
1502,50,40,pc
1503,50,46,pc
1504,50,47,pc
1505,50,28,pc
1506,50,42,pc
1507,50,40,pc
1508,50,32,pc
1509,50,40,pc
1510,50,38,pc
1511,50,43,pc
1512,37,50,user
1513,50,33,pc
1514,50,44,pc
1515,44,50,user
1516,50,35,pc
1517,39,50,user
1518,50,39,pc
1519,50,40,pc
1520,50,19,pc
1521,50,42,pc
1522,50,18,pc
1523,50,31,pc
1524,50,19,pc
1525,50,42,pc
1526,50,49,pc
1527,50,34,pc
1528,50,20,pc
1529,50,32,pc
