acceptability_1;confidence_1;distress_1;acceptability_2;confidence_2;distress_2;acceptability_3;confidence_3;distress_3;acceptability_4;confidence_4;distress_4;acceptability_5;confidence_5;distress_5;acceptability_6;confidence_6;distress_6;acceptability_7;confidence_7;distress_7;scenarios_order;condition;1_oxford_1;1_oxford_2;1_oxford_3;1_oxford_4;1_oxford_5;1_oxford_6;1_oxford_7;1_oxford_8;1_oxford_9;oxford_order;age;gender;country;covid;openness;conscientiousness;extraversion;agreeableness;neuroticism;timestamp
100;100;75;100;90;0;100;100;0;100;100;100;0;100;0;81;37;60;-999;-999;-999;654321;2;3;3;1;1;1;5;1;7;6;846571923;23;2;11;-999;33;37;37;31;20;06/05/2020 23:22
0;100;14;26;27;100;100;100;85;78;55;100;63;43;100;-999;-999;-999;0;83;100;735421;1;2;6;7;3;7;3;5;2;3;839427615;28;2;11;3;28;33;30;41;32;06/05/2020 23:23
78;23;67;60;59;61;72;67;28;3;45;67;0;100;0;-999;-999;-999;0;100;98;423157;3;1;7;1;7;5;1;1;1;1;872516943;34;2;11;-999;;;;;;06/05/2020 23:27
0;100;100;100;99;100;75;76;80;24;100;100;77;76;100;3;26;100;-999;-999;-999;612453;2;4;1;7;4;4;1;1;1;1;531476892;57;1;11;-999;41;39;21;45;23;06/05/2020 23:31
82;29;100;67;14;100;73;0;100;16;67;55;73;28;100;77;75;100;-999;-999;-999;634215;2;2;3;3;1;5;5;5;2;5;986137245;24;1;11;-999;43;21;29;37;38;06/05/2020 23:31
0;100;100;0;100;0;100;100;100;61;35;100;0;100;0;-999;-999;-999;0;100;100;734251;1;4;5;4;7;6;1;7;1;2;941637285;33;2;11;3;;;;;;06/05/2020 23:35
72;55;100;97;100;99;97;81;83;100;98;99;74;33;100;-999;-999;-999;0;98;99;213457;3;6;1;7;7;7;1;5;1;1;784195326;29;1;11;-999;38;38;32;32;27;06/05/2020 23:37
60;43;74;100;100;0;79;14;14;91;18;74;75;42;77;-999;-999;-999;0;33;82;715432;1;5;2;5;1;2;5;6;7;3;218795436;23;2;11;-999;38;28;20;33;19;06/05/2020 23:41
6;94;97;75;68;65;2;77;40;66;64;100;3;97;72;-999;-999;-999;1;100;100;152347;3;1;1;3;3;3;1;1;1;1;758421936;46;1;11;-999;;;;;;06/05/2020 23:42
20;58;87;20;44;89;59;32;71;15;89;20;9;88;11;61;16;100;-999;-999;-999;251436;4;1;4;3;2;2;3;1;1;1;397148526;34;1;11;3;40;38;33;31;26;06/05/2020 23:46
27;75;83;85;87;59;76;76;21;90;94;82;65;96;13;-999;-999;-999;18;87;85;714523;1;4;6;6;5;5;2;5;1;3;563281974;29;2;11;-999;35;34;21;29;24;06/05/2020 23:47
0;79;100;100;100;40;100;100;23;100;100;100;100;48;100;-999;-999;-999;0;100;100;752314;1;3;6;7;5;5;4;4;4;1;437981256;19;1;11;-999;;;;;;06/05/2020 23:48
0;100;100;0;100;51;100;100;0;100;100;52;100;100;0;-999;-999;-999;0;100;0;423157;3;7;4;7;4;4;1;1;1;1;315479286;46;2;11;3;;;;;;06/05/2020 23:54
0;100;100;20;63;79;79;72;37;0;76;26;100;79;100;0;51;100;-999;-999;-999;431526;4;1;1;7;3;6;1;1;1;1;691273854;37;1;11;3;39;36;24;35;16;06/05/2020 23:58
20;66;100;30;58;80;82;74;23;64;30;100;17;77;32;-999;-999;-999;38;37;90;721534;1;1;2;3;3;3;2;5;2;5;698735241;54;2;11;23;41;36;26;34;13;07/05/2020 00:00
66;38;100;7;100;10;80;82;31;100;90;100;2;96;0;100;68;99;-999;-999;-999;654231;2;1;1;5;2;2;6;6;5;6;628317549;39;1;11;-999;;;;;;07/05/2020 00:02
100;71;70;1;100;100;37;83;36;69;68;100;80;87;38;100;100;100;-999;-999;-999;214536;4;4;6;6;5;3;6;3;1;5;628197453;50;2;11;-999;40;33;32;32;21;07/05/2020 00:13
23;83;84;77;74;69;84;85;83;82;34;100;75;77;79;-999;-999;-999;22;87;97;543127;3;2;3;4;6;5;1;2;1;1;689412357;28;1;11;3;31;44;23;35;23;07/05/2020 00:18
0;85;17;100;100;0;84;79;76;60;20;100;81;59;63;48;22;100;-999;-999;-999;654123;2;4;5;6;2;5;4;1;1;4;247613859;29;2;11;-999;37;39;23;34;19;07/05/2020 00:45
0;100;100;0;100;0;100;100;0;2;98;100;100;82;31;100;78;96;-999;-999;-999;651234;2;5;7;6;6;6;3;3;4;5;176842593;25;1;11;3;;;;;;07/05/2020 00:49
100;100;100;2;72;25;75;76;71;100;36;94;0;100;11;-999;-999;-999;100;100;100;721543;1;6;3;6;5;3;5;5;6;6;324678519;24;2;11;-999;;;;;;07/05/2020 00:49
78;43;83;56;40;65;33;70;40;37;67;74;33;61;60;64;59;70;-999;-999;-999;153246;4;2;5;5;6;5;1;2;1;3;842139657;46;1;11;-999;46;31;25;31;23;07/05/2020 01:05
26;52;65;26;48;78;44;52;56;63;50;65;31;56;61;27;44;98;-999;-999;-999;623145;2;5;3;6;5;6;3;4;5;4;952736418;19;2;11;3;39;24;19;28;26;07/05/2020 01:09
26;71;82;36;31;83;71;76;99;84;62;99;0;100;0;100;82;100;-999;-999;-999;241536;4;4;5;6;6;6;6;2;3;7;297153468;23;2;11;-999;45;24;28;41;14;07/05/2020 01:19
